2025-02-10 02:37:41,359 - INFO - Attempting database connection...
2025-02-10 02:37:41,359 - INFO - Database configuration:
2025-02-10 02:37:41,360 - INFO -   Database Name: fil_dict_db
2025-02-10 02:37:41,360 - INFO -   User: postgres
2025-02-10 02:37:41,360 - INFO -   Host: localhost
2025-02-10 02:37:41,360 - INFO -   Password: ********
2025-02-10 02:37:41,417 - INFO - Successfully established database connection
2025-02-10 02:37:41,418 - INFO - Setting up PostgreSQL extensions...
2025-02-10 02:37:41,418 - INFO - Checking extension: pg_trgm
2025-02-10 02:37:41,435 - INFO - Extension already installed: pg_trgm
2025-02-10 02:37:41,436 - INFO - Checking extension: unaccent
2025-02-10 02:37:41,436 - INFO - Extension already installed: unaccent
2025-02-10 02:37:41,437 - INFO - Checking extension: fuzzystrmatch
2025-02-10 02:37:41,437 - INFO - Extension already installed: fuzzystrmatch
2025-02-10 02:37:41,437 - INFO - Extensions setup completed
2025-02-10 02:37:41,438 - INFO - Starting table creation/update process.
2025-02-10 02:37:42,625 - INFO - Standardizing source names...
2025-02-10 02:38:33,899 - INFO - Source names standardization completed
2025-02-10 02:38:33,936 - INFO - Tables created or updated successfully.
2025-02-10 02:38:33,949 - INFO - Processing Tagalog words from: data/tagalog-words.json
2025-02-10 02:41:10,975 - INFO - Processing root words from: data/root_words_with_associated_words_cleaned.json
2025-02-10 02:41:49,535 - INFO - Processing KWF dictionary from: data/kwf_dictionary.json
2025-02-10 02:44:06,767 - INFO - Starting to process Kaikki file: data/kaikki.jsonl
2025-02-10 02:44:06,840 - WARNING - Invalid Baybayin data for word 'lente', clearing baybayin fields.
2025-02-10 02:44:06,856 - WARNING - Invalid Baybayin data for word 'abnormal', clearing baybayin fields.
2025-02-10 02:44:06,861 - WARNING - Invalid Baybayin data for word 'abdominal', clearing baybayin fields.
2025-02-10 02:44:06,866 - WARNING - Invalid Baybayin data for word 'tago', clearing baybayin fields.
2025-02-10 02:44:06,906 - WARNING - Invalid Baybayin data for word 'tago', clearing baybayin fields.
2025-02-10 02:44:06,912 - WARNING - Invalid Baybayin data for word 'abdomen', clearing baybayin fields.
2025-02-10 02:44:06,916 - WARNING - Invalid Baybayin data for word 'absent', clearing baybayin fields.
2025-02-10 02:44:06,928 - WARNING - Invalid Baybayin data for word 'libre', clearing baybayin fields.
2025-02-10 02:44:06,962 - WARNING - Invalid Baybayin data for word 'libre', clearing baybayin fields.
2025-02-10 02:44:06,987 - WARNING - Invalid Baybayin data for word 'menos', clearing baybayin fields.
2025-02-10 02:44:06,995 - WARNING - Invalid Baybayin data for word 'abate', clearing baybayin fields.
2025-02-10 02:44:07,007 - WARNING - Invalid Baybayin data for word 'peso', clearing baybayin fields.
2025-02-10 02:44:07,010 - WARNING - Invalid Baybayin data for word 'tao', clearing baybayin fields.
2025-02-10 02:44:07,146 - WARNING - Invalid Baybayin data for word 'tao', clearing baybayin fields.
2025-02-10 02:44:07,162 - WARNING - Invalid Baybayin data for word 'are', clearing baybayin fields.
