2025-03-29 10:50:09,523 - INFO - Starting table creation/update process.
2025-03-29 10:50:09,711 - INFO - Tables created or updated successfully.
2025-03-29 10:50:09,714 - INFO - Processing Tagalog words from: ..\data\tagalog-words.json
2025-03-29 10:50:10,403 - INFO - Found 65336 entries to process
2025-03-29 10:50:12,129 - WARNING - Duplicate definition detected for word ID 703: áraw-...
2025-03-29 10:50:12,130 - ERROR - Error processing entry 'adláwon': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,130 - ERROR - Error processing entry 'adláy': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,131 - ERROR - Error processing entry 'ádlay': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,131 - ERROR - Error processing entry 'ádlib': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,132 - ERROR - Error processing entry 'ad líbitúm': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,133 - ERROR - Error processing entry 'ádlip': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,134 - ERROR - Error processing entry 'ad lítem': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,135 - ERROR - Error processing entry 'ádlo': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,136 - ERROR - Error processing entry 'ad majorem Dei gloriam': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,137 - ERROR - Error processing entry 'admínistér': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,137 - ERROR - Error processing entry 'administrá': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,138 - ERROR - Error processing entry 'administradór': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,138 - ERROR - Error processing entry 'adminístrasyón': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,138 - ERROR - Error processing entry 'administratíbo': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,139 - ERROR - Error processing entry 'administration': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,139 - ERROR - Error processing entry 'administrator': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,139 - ERROR - Error processing entry 'admiráble': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,140 - ERROR - Error processing entry 'admiradór': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,140 - ERROR - Error processing entry 'ádmirál': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,141 - ERROR - Error processing entry 'ádmirasyón': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,141 - ERROR - Error processing entry 'admiration': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,141 - ERROR - Error processing entry 'admirer': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,142 - ERROR - Error processing entry 'admission': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,142 - ERROR - Error processing entry 'admisyón': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,143 - ERROR - Error processing entry 'admít': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,143 - ERROR - Error processing entry 'admití': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,144 - ERROR - Error processing entry 'ádmon': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,144 - ERROR - Error processing entry 'admúlak': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,145 - ERROR - Error processing entry 'ad nauseam': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,145 - ERROR - Error processing entry 'adnóminál': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,145 - ERROR - Error processing entry 'adó': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,146 - ERROR - Error processing entry 'ádo': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,146 - ERROR - Error processing entry '-ádo': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,147 - ERROR - Error processing entry 'adobádo': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,147 - ERROR - Error processing entry 'adóbe': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,147 - ERROR - Error processing entry 'adóbo': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,148 - ERROR - Error processing entry 'adódog': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,148 - ERROR - Error processing entry 'ádog': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,148 - ERROR - Error processing entry 'adolescence': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,149 - ERROR - Error processing entry 'adolescent': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,149 - ERROR - Error processing entry 'adolesénsiyá': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,149 - ERROR - Error processing entry 'adolesénte': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,150 - ERROR - Error processing entry 'Adólfo': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,150 - ERROR - Error processing entry 'Adónis': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,150 - ERROR - Error processing entry 'adopsiyón': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,151 - ERROR - Error processing entry 'adoptá': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,151 - ERROR - Error processing entry 'adoptíbo': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,151 - ERROR - Error processing entry '-ador': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,152 - ERROR - Error processing entry 'adoradór': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,153 - ERROR - Error processing entry 'adorasyón': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,153 - ERROR - Error processing entry 'adormidéra': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,154 - ERROR - Error processing entry 'adórno': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,154 - ERROR - Error processing entry 'adpá': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,155 - ERROR - Error processing entry 'ad persónam': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,155 - ERROR - Error processing entry 'ád rem': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,155 - ERROR - Error processing entry 'adrenal': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,156 - ERROR - Error processing entry 'adrenal gland': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,156 - ERROR - Error processing entry 'adrenaline': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,157 - ERROR - Error processing entry 'adrenocorticotropic hormone': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,157 - ERROR - Error processing entry 'ádres': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,157 - ERROR - Error processing entry 'adrési': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,158 - ERROR - Error processing entry 'Adriatic Sea': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,158 - ERROR - Error processing entry 'Adsum!': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,159 - ERROR - Error processing entry 'adtó': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,159 - ERROR - Error processing entry 'ádto': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,160 - ERROR - Error processing entry 'adúdos': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,160 - ERROR - Error processing entry 'ádug': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,161 - ERROR - Error processing entry 'adúl': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,161 - ERROR - Error processing entry 'aduladór': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,162 - ERROR - Error processing entry 'adulasyón': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,162 - ERROR - Error processing entry 'adulation': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,163 - ERROR - Error processing entry 'adulatóryo': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,163 - ERROR - Error processing entry 'adult': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,163 - ERROR - Error processing entry 'adúlterá': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,164 - ERROR - Error processing entry 'adulterádo': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,164 - ERROR - Error processing entry 'acquisition': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,164 - ERROR - Error processing entry 'acrophobia': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,165 - ERROR - Error processing entry 'acrosome': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,165 - ERROR - Error processing entry 'Acrux': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,165 - ERROR - Error processing entry 'acrylic': current transaction is aborted, commands ignored until end of transaction block

2025-03-29 10:50:12,166 - ERROR - Error processing entry 'act': current transaction is aborted, commands ignored until end of transaction block

