2025-04-04 20:07:06,971 - INFO - Starting table creation/update process.
2025-04-04 20:07:09,180 - INFO - Tables created or updated successfully.
2025-04-04 20:07:09,185 - INFO - Starting processing for Tagalog Words from ..\data\tagalog-words.json
2025-04-04 20:07:09,185 - INFO - Processing Tagalog words from: ..\data\tagalog-words.json
2025-04-04 20:07:09,186 - INFO - Using standardized source identifier: 'diksiyonaryo.ph'
2025-04-04 20:07:09,952 - INFO - Found 65336 entries to process
2025-04-04 20:07:13,427 - WARNING - Skipping self-relation for word ID 899, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:13,773 - WARNING - Skipping self-relation for word ID 995, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:13,776 - WARNING - Skipping self-relation for word ID 995, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:19,191 - WARNING - Skipping self-relation for word ID 2904, type 'variant', source 'diksiyonaryo.ph'.
2025-04-04 20:07:28,223 - WARNING - Skipping self-relation for word ID 5997, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:30,995 - WARNING - Skipping self-relation for word ID 6928, type 'variant', source 'diksiyonaryo.ph'.
2025-04-04 20:07:38,567 - WARNING - Skipping self-relation for word ID 9315, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:38,577 - WARNING - Skipping self-relation for word ID 9315, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:38,588 - WARNING - Skipping self-relation for word ID 9315, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:38,597 - WARNING - Skipping self-relation for word ID 9315, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:38,637 - WARNING - Skipping self-relation for word ID 9347, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:38,650 - WARNING - Skipping self-relation for word ID 9347, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:40,601 - WARNING - Skipping self-relation for word ID 9644, type 'variant', source 'diksiyonaryo.ph'.
2025-04-04 20:07:45,698 - WARNING - Skipping self-relation for word ID 10572, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:45,703 - WARNING - Skipping self-relation for word ID 10572, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:45,708 - WARNING - Skipping self-relation for word ID 10572, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:45,714 - WARNING - Skipping self-relation for word ID 10572, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:49,909 - WARNING - Skipping self-relation for word ID 11470, type 'variant', source 'diksiyonaryo.ph'.
2025-04-04 20:07:50,387 - WARNING - Skipping self-relation for word ID 11663, type 'variant', source 'diksiyonaryo.ph'.
2025-04-04 20:07:50,928 - WARNING - Skipping self-relation for word ID 11815, type 'synonym', source 'diksiyonaryo.ph'.
2025-04-04 20:07:52,127 - WARNING - Skipping self-relation for word ID 12177, type 'variant', source 'diksiyonaryo.ph'.
