2025-04-14 00:13:26,821 - INFO - Starting table creation/update process.
2025-04-14 00:13:27,851 - INFO - Tables created or updated successfully.
2025-04-14 00:13:27,858 - INFO - Starting processing for Root Words from ..\data\root_words_with_associated_words_cleaned.json
2025-04-14 00:13:27,858 - INFO - Processing Root Words (tagalog.com cleaned) file: ..\data\root_words_with_associated_words_cleaned.json
2025-04-14 00:13:27,859 - INFO - Using standardized source identifier: 'tagalog.com'
2025-04-14 00:13:27,885 - INFO - Found 2238 root word entries in dictionary format in ..\data\root_words_with_associated_words_cleaned.json
2025-04-14 00:13:27,980 - WARNING - Skipping self-relation for word ID 6, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:27,989 - WARNING - Skipping self-relation for word ID 12, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,000 - WARNING - Skipping self-relation for word ID 22, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,047 - WARNING - Skipping self-relation for word ID 45, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,072 - WARNING - Skipping self-relation for word ID 59, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,086 - WARNING - Skipping self-relation for word ID 65, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,117 - WARNING - Skipping self-relation for word ID 84, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,156 - WARNING - Skipping self-relation for word ID 103, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,173 - WARNING - Skipping self-relation for word ID 114, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,226 - WARNING - Skipping self-relation for word ID 144, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,266 - WARNING - Skipping self-relation for word ID 169, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,324 - WARNING - Skipping self-relation for word ID 206, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,326 - WARNING - Skipping self-relation for word ID 206, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,341 - WARNING - Skipping self-relation for word ID 215, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,358 - WARNING - Skipping self-relation for word ID 223, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,399 - WARNING - Skipping self-relation for word ID 255, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,461 - WARNING - Skipping self-relation for word ID 292, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,469 - WARNING - Skipping self-relation for word ID 297, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,509 - WARNING - Skipping self-relation for word ID 324, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,531 - WARNING - Skipping self-relation for word ID 337, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,595 - WARNING - Skipping self-relation for word ID 374, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,644 - WARNING - Skipping self-relation for word ID 405, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,665 - WARNING - Skipping self-relation for word ID 416, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,721 - WARNING - Skipping self-relation for word ID 446, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,770 - WARNING - Skipping self-relation for word ID 474, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,839 - WARNING - Skipping self-relation for word ID 515, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,968 - WARNING - Skipping self-relation for word ID 600, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,981 - WARNING - Skipping self-relation for word ID 608, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:28,992 - WARNING - Skipping self-relation for word ID 614, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,025 - WARNING - Skipping self-relation for word ID 634, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,066 - WARNING - Skipping self-relation for word ID 666, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,085 - WARNING - Skipping self-relation for word ID 679, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,300 - WARNING - Skipping self-relation for word ID 783, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,360 - WARNING - Skipping self-relation for word ID 812, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,468 - WARNING - Skipping self-relation for word ID 857, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,518 - WARNING - Skipping self-relation for word ID 882, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,540 - WARNING - Skipping self-relation for word ID 889, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,737 - WARNING - Skipping self-relation for word ID 995, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,819 - WARNING - Skipping self-relation for word ID 1021, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,914 - WARNING - Skipping self-relation for word ID 1065, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:29,925 - WARNING - Skipping self-relation for word ID 1070, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:30,041 - WARNING - Skipping self-relation for word ID 1124, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:30,062 - WARNING - Skipping self-relation for word ID 1133, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:30,131 - WARNING - Skipping self-relation for word ID 1172, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:30,201 - WARNING - Skipping self-relation for word ID 1207, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:30,247 - WARNING - Skipping self-relation for word ID 1234, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:30,312 - WARNING - Skipping self-relation for word ID 1271, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:30,315 - WARNING - Skipping self-relation for word ID 1271, type 'derived_from', source 'tagalog.com'.
2025-04-14 00:13:30,458 - WARNING - Skipping self-relation for word ID 1338, type 'derived_from', source 'tagalog.com'.
