2025-02-16 13:26:26,229 - INFO - Attempting database connection...
2025-02-16 13:26:26,229 - INFO - Database configuration:
2025-02-16 13:26:26,229 - INFO -   Database Name: fil_dict_db
2025-02-16 13:26:26,229 - INFO -   User: postgres
2025-02-16 13:26:26,229 - INFO -   Host: localhost
2025-02-16 13:26:26,230 - INFO -   Password: ********
2025-02-16 13:26:26,262 - INFO - Successfully established database connection
2025-02-16 13:26:26,263 - INFO - Setting up PostgreSQL extensions...
2025-02-16 13:26:26,265 - INFO - Extension pg_trgm already installed
2025-02-16 13:26:26,266 - INFO - Extension unaccent already installed
2025-02-16 13:26:26,266 - INFO - Extension fuzzystrmatch already installed
2025-02-16 13:26:26,267 - INFO - Extension dict_xsyn already installed
2025-02-16 13:26:26,267 - INFO - Starting table creation/update process.
2025-02-16 13:26:26,448 - INFO - Tables created or updated successfully.
2025-02-16 13:26:26,454 - INFO - Processing Tagalog words from: data/tagalog-words.json
2025-02-16 13:26:26,623 - ERROR - Error processing Tagalog words file: name 'conn' is not defined
2025-02-16 13:26:26,623 - ERROR - Error processing file data/tagalog-words.json: name 'conn' is not defined
2025-02-16 13:26:26,624 - WARNING - Skipping file data/tagalog-words.json due to errors.
2025-02-16 13:26:26,635 - INFO - Processing root words from: data/root_words_with_associated_words_cleaned.json
2025-02-16 13:27:05,765 - INFO - Processing KWF dictionary from: data/kwf_dictionary.json
2025-02-16 13:28:25,662 - INFO - Starting to process Kaikki file: data/kaikki.jsonl
2025-02-16 13:28:25,671 - WARNING - Invalid Baybayin data for word 'aam', clearing baybayin fields.
2025-02-16 13:28:25,677 - WARNING - Invalid Baybayin data for word 'lente', clearing baybayin fields.
2025-02-16 13:28:25,686 - WARNING - Invalid Baybayin data for word 'abnormal', clearing baybayin fields.
2025-02-16 13:28:25,688 - WARNING - Invalid Baybayin data for word 'abdominal', clearing baybayin fields.
2025-02-16 13:28:25,693 - WARNING - Invalid Baybayin data for word 'tago', clearing baybayin fields.
2025-02-16 13:28:25,696 - WARNING - Invalid Baybayin data for word 'tago', clearing baybayin fields.
2025-02-16 13:28:25,700 - WARNING - Invalid Baybayin data for word 'abdomen', clearing baybayin fields.
2025-02-16 13:28:25,701 - WARNING - Invalid Baybayin data for word 'absent', clearing baybayin fields.
2025-02-16 13:28:25,706 - WARNING - Invalid Baybayin data for word 'libre', clearing baybayin fields.
2025-02-16 13:28:25,714 - WARNING - Invalid Baybayin data for word 'libre', clearing baybayin fields.
2025-02-16 13:28:25,720 - WARNING - Invalid Baybayin data for word 'menos', clearing baybayin fields.
2025-02-16 13:28:25,725 - WARNING - Invalid Baybayin data for word 'abate', clearing baybayin fields.
2025-02-16 13:28:25,727 - WARNING - Invalid Baybayin data for word 'peso', clearing baybayin fields.
2025-02-16 13:28:25,728 - WARNING - Invalid Baybayin data for word 'tao', clearing baybayin fields.
2025-02-16 13:28:25,738 - WARNING - Invalid Baybayin data for word 'tao', clearing baybayin fields.
2025-02-16 13:28:25,739 - WARNING - Invalid Baybayin data for word 'are', clearing baybayin fields.
2025-02-16 13:28:25,742 - WARNING - Invalid Baybayin data for word 'robot', clearing baybayin fields.
2025-02-16 13:28:25,756 - WARNING - Invalid Baybayin data for word 'a-', clearing baybayin fields.
2025-02-16 13:28:25,763 - WARNING - Invalid Baybayin data for word 'also', clearing baybayin fields.
2025-02-16 13:28:25,769 - WARNING - Invalid Baybayin data for word 'mars', clearing baybayin fields.
2025-02-16 13:28:25,776 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-16 13:28:25,778 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-16 13:28:25,780 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-16 13:28:25,783 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-16 13:28:25,813 - WARNING - Invalid Baybayin data for word 'te', clearing baybayin fields.
2025-02-16 13:28:25,815 - WARNING - Invalid Baybayin data for word 'te', clearing baybayin fields.
2025-02-16 13:28:25,820 - WARNING - Invalid Baybayin data for word 'presidente', clearing baybayin fields.
2025-02-16 13:28:25,827 - WARNING - Invalid Baybayin data for word 'A', clearing baybayin fields.
2025-02-16 13:28:25,879 - WARNING - Invalid Baybayin data for word 'on', clearing baybayin fields.
2025-02-16 13:28:25,881 - WARNING - Invalid Baybayin data for word 'tigre', clearing baybayin fields.
2025-02-16 13:28:25,885 - WARNING - Invalid Baybayin data for word 'de', clearing baybayin fields.
2025-02-16 13:28:25,888 - WARNING - Invalid Baybayin data for word 'de', clearing baybayin fields.
2025-02-16 13:28:25,903 - WARNING - Invalid Baybayin data for word 'radar', clearing baybayin fields.
2025-02-16 13:28:25,911 - WARNING - Invalid Baybayin data for word 'ao', clearing baybayin fields.
2025-02-16 13:28:25,914 - WARNING - Invalid Baybayin data for word 'mental', clearing baybayin fields.
2025-02-16 13:28:25,917 - WARNING - Invalid Baybayin data for word 'mental', clearing baybayin fields.
2025-02-16 13:28:25,919 - WARNING - Invalid Baybayin data for word 'be', clearing baybayin fields.
2025-02-16 13:28:25,920 - WARNING - Invalid Baybayin data for word 'noon', clearing baybayin fields.
2025-02-16 13:28:25,922 - WARNING - Invalid Baybayin data for word 'noon', clearing baybayin fields.
2025-02-16 13:28:25,924 - WARNING - Invalid Baybayin data for word 'abandono', clearing baybayin fields.
2025-02-16 13:28:25,927 - WARNING - Invalid Baybayin data for word 'en', clearing baybayin fields.
2025-02-16 13:28:25,930 - WARNING - Invalid Baybayin data for word 'ate', clearing baybayin fields.
2025-02-16 13:28:25,947 - WARNING - Invalid Baybayin data for word 'ate', clearing baybayin fields.
2025-02-16 13:28:25,953 - WARNING - Invalid Baybayin data for word 'o', clearing baybayin fields.
2025-02-16 13:28:25,994 - WARNING - Invalid Baybayin data for word 'o', clearing baybayin fields.
2025-02-16 13:28:26,027 - WARNING - Invalid Baybayin data for word 'o', clearing baybayin fields.
2025-02-16 13:28:26,029 - WARNING - Invalid Baybayin data for word 'o', clearing baybayin fields.
2025-02-16 13:28:26,032 - WARNING - Invalid Baybayin data for word 'o', clearing baybayin fields.
2025-02-16 13:28:26,036 - WARNING - Invalid Baybayin data for word 'i', clearing baybayin fields.
2025-02-16 13:28:26,090 - WARNING - Invalid Baybayin data for word 'mundo', clearing baybayin fields.
2025-02-16 13:28:26,092 - WARNING - Invalid Baybayin data for word 'mundo', clearing baybayin fields.
2025-02-16 13:28:26,097 - WARNING - Invalid Baybayin data for word 'el', clearing baybayin fields.
2025-02-16 13:28:26,100 - WARNING - Invalid Baybayin data for word 'sombrero', clearing baybayin fields.
2025-02-16 13:28:26,101 - WARNING - Invalid Baybayin data for word 'bold', clearing baybayin fields.
2025-02-16 13:28:26,104 - WARNING - Invalid Baybayin data for word 'bold', clearing baybayin fields.
2025-02-16 13:28:26,108 - WARNING - Invalid Baybayin data for word 'regular', clearing baybayin fields.
2025-02-16 13:28:26,121 - WARNING - Invalid Baybayin data for word 'beso', clearing baybayin fields.
2025-02-16 13:28:26,126 - WARNING - Invalid Baybayin data for word 'PI', clearing baybayin fields.
2025-02-16 13:28:26,128 - WARNING - Invalid Baybayin data for word 'balido', clearing baybayin fields.
2025-02-16 13:28:26,147 - WARNING - Invalid Baybayin data for word 'AP', clearing baybayin fields.
2025-02-16 13:28:26,149 - WARNING - Invalid Baybayin data for word 'grupo', clearing baybayin fields.
2025-02-16 13:28:26,154 - WARNING - Invalid Baybayin data for word 'OA', clearing baybayin fields.
2025-02-16 13:28:26,158 - WARNING - Invalid Baybayin data for word 'baon', clearing baybayin fields.
