2025-02-16 13:51:21,252 - INFO - Attempting database connection...
2025-02-16 13:51:21,253 - INFO - Database configuration:
2025-02-16 13:51:21,253 - INFO -   Database Name: fil_dict_db
2025-02-16 13:51:21,253 - INFO -   User: postgres
2025-02-16 13:51:21,253 - INFO -   Host: localhost
2025-02-16 13:51:21,254 - INFO -   Password: ********
2025-02-16 13:51:21,297 - INFO - Successfully established database connection
2025-02-16 13:51:21,297 - INFO - Setting up PostgreSQL extensions...
2025-02-16 13:51:21,300 - INFO - Extension pg_trgm already installed
2025-02-16 13:51:21,300 - INFO - Extension unaccent already installed
2025-02-16 13:51:21,301 - INFO - Extension fuzzystrmatch already installed
2025-02-16 13:51:21,301 - INFO - Extension dict_xsyn already installed
2025-02-16 13:51:21,301 - INFO - Starting table creation/update process.
2025-02-16 13:51:21,521 - INFO - Tables created or updated successfully.
2025-02-16 13:51:21,527 - INFO - Processing Tagalog words from: data/tagalog-words.json
2025-02-16 13:53:28,593 - INFO - Processing root words from: data/root_words_with_associated_words_cleaned.json
2025-02-16 13:54:22,122 - INFO - Processing KWF dictionary from: data/kwf_dictionary.json
2025-02-16 13:56:57,539 - INFO - Starting to process Kaikki file: data/kaikki.jsonl
2025-02-16 13:56:57,562 - WARNING - Invalid Baybayin data for word 'aam', clearing baybayin fields.
2025-02-16 13:56:57,577 - WARNING - Invalid Baybayin data for word 'lente', clearing baybayin fields.
2025-02-16 13:56:57,589 - WARNING - Invalid Baybayin data for word 'abnormal', clearing baybayin fields.
2025-02-16 13:56:57,592 - WARNING - Invalid Baybayin data for word 'abdominal', clearing baybayin fields.
2025-02-16 13:56:57,597 - WARNING - Invalid Baybayin data for word 'tago', clearing baybayin fields.
2025-02-16 13:56:57,603 - WARNING - Invalid Baybayin data for word 'tago', clearing baybayin fields.
2025-02-16 13:56:57,607 - WARNING - Invalid Baybayin data for word 'abdomen', clearing baybayin fields.
2025-02-16 13:56:57,610 - WARNING - Invalid Baybayin data for word 'absent', clearing baybayin fields.
2025-02-16 13:56:57,618 - WARNING - Invalid Baybayin data for word 'libre', clearing baybayin fields.
2025-02-16 13:56:57,633 - WARNING - Invalid Baybayin data for word 'libre', clearing baybayin fields.
2025-02-16 13:56:57,641 - WARNING - Invalid Baybayin data for word 'menos', clearing baybayin fields.
2025-02-16 13:56:57,650 - WARNING - Invalid Baybayin data for word 'abate', clearing baybayin fields.
2025-02-16 13:56:57,654 - WARNING - Invalid Baybayin data for word 'peso', clearing baybayin fields.
2025-02-16 13:56:57,655 - WARNING - Invalid Baybayin data for word 'tao', clearing baybayin fields.
2025-02-16 13:56:57,670 - WARNING - Invalid Baybayin data for word 'tao', clearing baybayin fields.
2025-02-16 13:56:57,674 - WARNING - Invalid Baybayin data for word 'are', clearing baybayin fields.
2025-02-16 13:56:57,676 - WARNING - Invalid Baybayin data for word 'robot', clearing baybayin fields.
2025-02-16 13:56:57,701 - WARNING - Invalid Baybayin data for word 'a-', clearing baybayin fields.
2025-02-16 13:56:57,712 - WARNING - Invalid Baybayin data for word 'also', clearing baybayin fields.
2025-02-16 13:56:57,717 - WARNING - Invalid Baybayin data for word 'mars', clearing baybayin fields.
2025-02-16 13:56:57,725 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-16 13:56:57,729 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-16 13:56:57,731 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-16 13:56:57,734 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-16 13:56:57,779 - WARNING - Invalid Baybayin data for word 'te', clearing baybayin fields.
2025-02-16 13:56:57,781 - WARNING - Invalid Baybayin data for word 'te', clearing baybayin fields.
2025-02-16 13:56:57,789 - WARNING - Invalid Baybayin data for word 'presidente', clearing baybayin fields.
2025-02-16 13:56:57,797 - WARNING - Invalid Baybayin data for word 'A', clearing baybayin fields.
2025-02-16 13:56:57,860 - WARNING - Invalid Baybayin data for word 'on', clearing baybayin fields.
2025-02-16 13:56:57,863 - WARNING - Invalid Baybayin data for word 'tigre', clearing baybayin fields.
2025-02-16 13:56:57,873 - WARNING - Invalid Baybayin data for word 'de', clearing baybayin fields.
2025-02-16 13:56:57,878 - WARNING - Invalid Baybayin data for word 'de', clearing baybayin fields.
2025-02-16 13:56:57,915 - WARNING - Invalid Baybayin data for word 'radar', clearing baybayin fields.
2025-02-16 13:56:57,932 - WARNING - Invalid Baybayin data for word 'ao', clearing baybayin fields.
2025-02-16 13:56:57,935 - WARNING - Invalid Baybayin data for word 'mental', clearing baybayin fields.
2025-02-16 13:56:57,939 - WARNING - Invalid Baybayin data for word 'mental', clearing baybayin fields.
2025-02-16 13:56:57,944 - WARNING - Invalid Baybayin data for word 'be', clearing baybayin fields.
2025-02-16 13:56:57,949 - WARNING - Invalid Baybayin data for word 'noon', clearing baybayin fields.
2025-02-16 13:56:57,955 - WARNING - Invalid Baybayin data for word 'noon', clearing baybayin fields.
2025-02-16 13:56:57,958 - WARNING - Invalid Baybayin data for word 'abandono', clearing baybayin fields.
2025-02-16 13:56:57,964 - WARNING - Invalid Baybayin data for word 'en', clearing baybayin fields.
